****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.40      0.01     45.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
        97     6.535     0.511     0.000     0.609    -3.699     7.805     6.535  1025.610 15301.399    33.320    10.326     0.020     3.268
        98     6.666     0.517     0.000     0.616    -3.723     7.964     6.666  1025.578 15000.903    33.279    10.324     0.020     3.333
        99     6.800     0.524     0.000     0.623    -3.748     8.126     6.800  1025.546 14706.317    33.238    10.322     0.020     3.400
       100     6.936     0.530     0.000     0.631    -3.772     8.291     6.936  1025.516 14417.525    33.198    10.320     0.020     3.468
       101     7.075     0.536     0.000     0.638    -3.797     8.458     7.075  1025.485 14134.413    33.159    10.319     0.020     3.537
       102     7.217     0.543     0.000     0.645    -3.823     8.627     7.217  1025.456 13856.868    33.120    10.317     0.020     3.608
       103     7.361     0.549     0.000     0.653    -3.848     8.799     7.361  1025.427 13584.782    33.083    10.315     0.020     3.681
       104     7.509     0.556     0.000     0.660    -3.874     8.974     7.509  1025.399 13318.045    33.046    10.312     0.020     3.754
       105     7.659     0.563     0.000     0.667    -3.900     9.151     7.659  1025.371 13056.553    33.009    10.310     0.020     3.829
       106     7.812     0.569     0.000     0.675    -3.927     9.331     7.812  1025.344 12800.203    32.974    10.308     0.020     3.906
       107     7.969     0.576     0.000     0.682    -3.954     9.514     7.969  1025.317 12548.892    32.939    10.305     0.020     3.984
       108     8.128     0.583     0.000     0.690    -3.981     9.700     8.128  1025.291 12302.522    32.905    10.303     0.020     4.064
       109     8.291     0.590     0.000     0.697    -4.008     9.888     8.291  1025.265 12060.995    32.872    10.301     0.020     4.146
       110     8.457     0.598     0.000     0.705    -4.036    10.079     8.457  1025.240 11824.216    32.839    10.298     0.020     4.229
       111     8.627     0.605     0.000     0.712    -4.064    10.273     8.627  1025.216 11592.091    32.807    10.295     0.020     4.313
       112     8.799     0.612     0.000     0.720    -4.092    10.470     8.799  1025.192 11364.529    32.775    10.292     0.020     4.400
       113     8.976     0.620     0.000     0.728    -4.121    10.671     8.976  1025.168 11141.439    32.744    10.290     0.020     4.488
       114     9.155     0.627     0.000     0.736    -4.150    10.874     9.155  1025.145 10922.733    32.714    10.287     0.020     4.578
       115     9.339     0.635     0.000     0.743    -4.179    11.080     9.339  1025.122 10708.326    32.684    10.284     0.020     4.669
       116     9.526     0.642     0.000     0.751    -4.209    11.290     9.526  1025.100 10498.133    32.655    10.281     0.020     4.763
       117     9.716     0.650     0.000     0.759    -4.239    11.502     9.716  1025.079 10292.069    32.627    10.278     0.020     4.858
       118     9.911     0.658     0.000     0.767    -4.269    11.718     9.911  1025.057 10090.055    32.599    10.274     0.020     4.955
       119    10.109     0.666     0.000     0.775    -4.300    11.938    10.109  1025.037  9892.010    32.571    10.271     0.020     5.055
       120    10.312     0.674     0.000     0.783    -4.331    12.160    10.312  1025.016  9697.857    32.544    10.268     0.020     5.156
       121    10.518     0.682     0.000     0.791    -4.362    12.386    10.518  1024.996  9507.518    32.518    10.264     0.020     5.259
       122    10.729     0.691     0.000     0.799    -4.394    12.616    10.729  1024.977  9320.919    32.492    10.261     0.020     5.364
       123    10.943     0.699     0.000     0.807    -4.426    12.849    10.943  1024.958  9137.985    32.467    10.257     0.020     5.472
       124    11.162     0.708     0.000     0.816    -4.458    13.085    11.162  1024.939  8958.645    32.442    10.254     0.020     5.581
       125    11.386     0.716     0.000     0.824    -4.491    13.326    11.386  1024.921  8782.829    32.418    10.250     0.020     5.693
       126    11.614     0.725     0.000     0.832    -4.524    13.570    11.614  1024.903  8610.466    32.394    10.246     0.020     5.807
       127    11.846     0.734     0.000     0.841    -4.557    13.817    11.846  1024.885  8441.489    32.370    10.242     0.020     5.923
       128    12.083     0.743     0.000     0.849    -4.591    14.069    12.083  1024.868  8275.831    32.347    10.238     0.020     6.042
       129    12.325     0.752     0.000     0.858    -4.625    14.325    12.325  1024.851  8113.426    32.325    10.234     0.020     6.163
       130    12.572     0.761     0.000     0.866    -4.660    14.584    12.572  1024.835  7954.212    32.303    10.230     0.020     6.286
       131    12.824     0.771     0.000     0.875    -4.695    14.847    12.824  1024.819  7798.124    32.281    10.226     0.020     6.412
       132    13.080     0.780     0.000     0.884    -4.730    15.115    13.080  1024.803  7645.102    32.260    10.221     0.020     6.540
       133    13.342     0.790     0.000     0.893    -4.766    15.387    13.342  1024.787  7495.085    32.239    10.217     0.020     6.671
       134    13.609     0.799     0.000     0.902    -4.802    15.662    13.609  1024.772  7348.014    32.219    10.213     0.020     6.805
       135    13.882     0.809     0.000     0.911    -4.839    15.943    13.882  1024.758  7203.832    32.199    10.208     0.020     6.941
       136    14.159     0.819     0.000     0.920    -4.876    16.227    14.159  1024.743  7062.480    32.179    10.203     0.020     7.080
       137    14.443     0.829     0.000     0.929    -4.913    16.516    14.443  1024.729  6923.905    32.160    10.199     0.020     7.221
       138    14.732     0.840     0.000     0.938    -4.951    16.809    14.732  1024.715  6788.050    32.141    10.194     0.020     7.366
       139    15.027     0.850     0.000     0.947    -4.989    17.107    15.027  1024.702  6654.863    32.123    10.189     0.020     7.513
       140    15.327     0.860     0.000     0.956    -5.028    17.410    15.327  1024.688  6524.291    32.105    10.184     0.020     7.664
       141    15.634     0.871     0.000     0.966    -5.067    17.717    15.634  1024.675  6396.283    32.087    10.179     0.020     7.817
       142    15.947     0.882     0.000     0.975    -5.106    18.030    15.947  1024.663  6270.788    32.070    10.174     0.020     7.973
       143    16.266     0.893     0.000     0.985    -5.146    18.347    16.266  1024.650  6147.757    32.053    10.169     0.020     8.133
       144    16.592     0.904     0.000     0.995    -5.186    18.669    16.592  1024.638  6027.142    32.036    10.164     0.020     8.296
       145    16.924     0.915     0.000     1.004    -5.227    18.996    16.924  1024.626  5908.894    32.019    10.158     0.020     8.462
       146    17.262     0.926     0.000     1.014    -5.268    19.328    17.262  1024.615  5792.968    32.003    10.153     0.020     8.631
       147    17.608     0.938     0.000     1.024    -5.310    19.666    17.608  1024.603  5679.317    31.988    10.148     0.020     8.804
       148    17.960     0.950     0.000     1.034    -5.352    20.008    17.960  1024.592  5567.898    31.972    10.142     0.020     8.980
       149    18.319     0.961     0.000     1.044    -5.394    20.356    18.319  1024.581  5458.666    31.957    10.136     0.020     9.160
       150    18.686     0.973     0.000     1.054    -5.437    20.710    18.686  1024.571  5351.578    31.942    10.131     0.020     9.343
       151    19.060     0.985     0.000     1.065    -5.481    21.069    19.060  1024.560  5246.592    31.928    10.125     0.020     9.530
       152    19.441     0.998     0.000     1.075    -5.525    21.434    19.441  1024.550  5143.667    31.913    10.119     0.020     9.721
       153    19.830     1.010     0.000     1.086    -5.569    21.805    19.830  1024.540  5042.762    31.899    10.113     0.020     9.915
       154    20.227     1.023     0.000     1.096    -5.614    22.182    20.227  1024.531  4943.837    31.886    10.107     0.020    10.114
       155    20.632     1.036     0.000     1.107    -5.659    22.564    20.632  1024.521  4846.855    31.872    10.101     0.020    10.316
       156    21.045     1.049     0.000     1.118    -5.705    22.953    21.045  1024.512  4751.776    31.859    10.094     0.020    10.522
       157    21.466     1.062     0.000     1.129    -5.752    23.348    21.466  1024.503  4658.563    31.846    10.088     0.020    10.733
       158    21.895     1.075     0.000     1.140    -5.798    23.749    21.895  1024.494  4567.179    31.833    10.082     0.020    10.948
       159    22.333     1.089     0.000     1.151    -5.846    24.156    22.333  1024.486  4477.589    31.821    10.075     0.020    11.167
       160    22.780     1.103     0.000     1.162    -5.894    24.570    22.780  1024.477  4389.757    31.809    10.068     0.020    11.390
       161    23.236     1.116     0.000     1.174    -5.942    24.991    23.236  1024.469  4303.649    31.797    10.062     0.020    11.618
       162    23.701     1.131     0.000     1.185    -5.991    25.419    23.701  1024.461  4219.231    31.785    10.055     0.020    11.851
       163    24.175     1.145     0.000     1.197    -6.040    25.853    24.175  1024.453  4136.470    31.774    10.048     0.020    12.088
       164    24.659     1.159     0.000     1.209    -6.090    26.294    24.659  1024.446  4055.332    31.763    10.041     0.020    12.329
       165    25.152     1.174     0.000     1.221    -6.140    26.743    25.152  1024.438  3975.787    31.752    10.034     0.020    12.576
       166    25.655     1.189     0.000     1.233    -6.191    27.199    25.655  1024.431  3897.804    31.741    10.027     0.020    12.828
       167    26.169     1.204     0.000     1.245    -6.243    27.662    26.169  1024.425  3821.351    31.731    10.020     0.020    13.084
       168    26.692     1.220     0.000     1.257    -6.295    28.133    26.692  1024.418  3746.399    31.721    10.014     0.020    13.346
       169    27.226     1.236     0.000     1.270    -6.347    28.612    27.226  1024.412  3672.918    31.712    10.007     0.020    13.613
       170    27.771     1.253     0.000     1.283    -6.400    29.100    27.771  1024.406  3600.879    31.703    10.000     0.020    13.885
       171    28.327     1.269     0.000     1.295    -6.454    29.596    28.327  1024.400  3530.254    31.694     9.993     0.020    14.163
       172    28.893     1.287     0.000     1.308    -6.508    30.101    28.893  1024.395  3461.015    31.686     9.987     0.020    14.447
