****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.020    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.01     15.00     45.00     90.00     25.00      2.00     20.70    207.00      2.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
       155    21.593     0.253     0.000     0.476    -1.612     3.946    21.593  1023.949  4631.183    31.262    10.687     0.020    10.796
       156    22.025     0.258     0.000     0.486    -1.605     4.086    22.025  1023.945  4540.360    31.258    10.688     0.020    11.012
       157    22.465     0.262     0.000     0.496    -1.599     4.231    22.465  1023.942  4451.319    31.254    10.690     0.020    11.233
       158    22.915     0.267     0.000     0.506    -1.593     4.380    22.915  1023.939  4364.025    31.250    10.692     0.020    11.457
       159    23.373     0.272     0.000     0.516    -1.586     4.534    23.373  1023.936  4278.443    31.247    10.693     0.020    11.686
       160    23.841     0.277     0.000     0.527    -1.580     4.693    23.841  1023.932  4194.539    31.243    10.695     0.020    11.920
       161    24.317     0.283     0.000     0.537    -1.573     4.857    24.317  1023.929  4112.280    31.239    10.696     0.020    12.159
       162    24.804     0.288     0.000     0.548    -1.567     5.027    24.804  1023.926  4031.636    31.236    10.698     0.020    12.402
       163    25.300     0.293     0.000     0.559    -1.560     5.201    25.300  1023.923  3952.572    31.232    10.700     0.020    12.650
       164    25.806     0.299     0.000     0.571    -1.554     5.382    25.806  1023.920  3875.060    31.229    10.701     0.020    12.903
       165    26.322     0.304     0.000     0.582    -1.547     5.567    26.322  1023.917  3799.067    31.225    10.703     0.020    13.161
       166    26.849     0.310     0.000     0.594    -1.541     5.759    26.849  1023.915  3724.565    31.222    10.705     0.020    13.424
       167    27.386     0.316     0.000     0.606    -1.534     5.957    27.386  1023.912  3651.525    31.219    10.706     0.020    13.693
       168    27.934     0.321     0.000     0.618    -1.527     6.161    27.934  1023.909  3579.916    31.216    10.708     0.020    13.967
       169    28.492     0.327     0.000     0.630    -1.521     6.371    28.492  1023.906  3509.713    31.212    10.709     0.020    14.246
       170    29.062     0.333     0.000     0.643    -1.514     6.588    29.062  1023.903  3440.886    31.209    10.711     0.020    14.531
       171    29.644     0.339     0.000     0.655    -1.507     6.812    29.644  1023.901  3373.408    31.206    10.713     0.020    14.822
       172    30.237     0.346     0.000     0.668    -1.501     7.043    30.237  1023.898  3307.259    31.203    10.714     0.020    15.118
       173    30.827     0.352     0.000     0.681    -1.494     7.276    30.827  1023.896  3243.883    31.200    10.716     0.020    15.414
