****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.40     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.40      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
       115     5.277     0.602     0.000     0.470    -3.748     2.639     0.020    10.299    31.914 18950.125  1024.520     5.277    14.761
       116     5.383     0.610     0.000     0.477    -3.772     2.691     0.020    10.298    31.900 18578.361  1024.510     5.383    15.028
       117     5.490     0.617     0.000     0.484    -3.796     2.745     0.020    10.297    31.886 18213.894  1024.499     5.490    15.300
       118     5.600     0.625     0.000     0.490    -3.820     2.800     0.020    10.295    31.873 17856.581  1024.489     5.600    15.575
       119     5.712     0.632     0.000     0.497    -3.844     2.856     0.020    10.293    31.859 17506.281  1024.479     5.712    15.854
       120     5.827     0.640     0.000     0.504    -3.869     2.913     0.020    10.292    31.846 17162.857  1024.469     5.827    16.137
       121     5.943     0.648     0.000     0.511    -3.893     2.972     0.020    10.290    31.834 16826.174  1024.460     5.943    16.425
       122     6.062     0.656     0.000     0.518    -3.919     3.031     0.020    10.288    31.821 16496.098  1024.450     6.062    16.716
       123     6.183     0.664     0.000     0.526    -3.944     3.092     0.020    10.286    31.809 16172.501  1024.441     6.183    17.012
       124     6.307     0.672     0.000     0.533    -3.969     3.154     0.020    10.284    31.797 15855.255  1024.432     6.307    17.312
       125     6.433     0.680     0.000     0.540    -3.995     3.217     0.020    10.282    31.785 15544.235  1024.424     6.433    17.616
       126     6.562     0.688     0.000     0.548    -4.021     3.281     0.020    10.280    31.774 15239.318  1024.415     6.562    17.925
       127     6.693     0.697     0.000     0.555    -4.048     3.347     0.020    10.277    31.763 14940.386  1024.407     6.693    18.238
       128     6.827     0.705     0.000     0.563    -4.074     3.414     0.020    10.275    31.752 14647.320  1024.399     6.827    18.556
       129     6.964     0.714     0.000     0.570    -4.101     3.482     0.020    10.273    31.741 14360.006  1024.391     6.964    18.879
       130     7.103     0.723     0.000     0.578    -4.128     3.552     0.020    10.270    31.730 14078.329  1024.383     7.103    19.206
       131     7.245     0.732     0.000     0.586    -4.156     3.623     0.020    10.268    31.720 13802.180  1024.375     7.245    19.538
       132     7.390     0.741     0.000     0.594    -4.183     3.695     0.020    10.265    31.710 13531.451  1024.368     7.390    19.875
       133     7.538     0.750     0.000     0.602    -4.211     3.769     0.020    10.262    31.700 13266.033  1024.360     7.538    20.217
       134     7.689     0.759     0.000     0.610    -4.239     3.844     0.020    10.260    31.690 13005.824  1024.353     7.689    20.564
       135     7.843     0.769     0.000     0.618    -4.268     3.921     0.020    10.257    31.680 12750.721  1024.346     7.843    20.917
       136     8.000     0.778     0.000     0.626    -4.297     4.000     0.020    10.254    31.671 12500.624  1024.339     8.000    21.274
       137     8.160     0.788     0.000     0.635    -4.326     4.080     0.020    10.251    31.662 12255.433  1024.333     8.160    21.637
       138     8.323     0.798     0.000     0.643    -4.355     4.161     0.020    10.248    31.653 12015.054  1024.326     8.323    22.005
       139     8.489     0.808     0.000     0.652    -4.385     4.245     0.020    10.244    31.644 11779.392  1024.320     8.489    22.379
       140     8.659     0.818     0.000     0.661    -4.414     4.330     0.020    10.241    31.635 11548.353  1024.313     8.659    22.758
       141     8.832     0.828     0.000     0.670    -4.445     4.416     0.020    10.238    31.626 11321.848  1024.307     8.832    23.143
       142     9.009     0.838     0.000     0.679    -4.475     4.505     0.020    10.235    31.618 11099.786  1024.301     9.009    23.534
       143     9.189     0.849     0.000     0.688    -4.506     4.595     0.020    10.231    31.610 10882.082  1024.296     9.189    23.931
       144     9.373     0.860     0.000     0.697    -4.537     4.687     0.020    10.228    31.602 10668.649  1024.290     9.373    24.333
       145     9.561     0.871     0.000     0.706    -4.568     4.780     0.020    10.224    31.594 10459.403  1024.284     9.561    24.742
       146     9.752     0.882     0.000     0.716    -4.600     4.876     0.020    10.220    31.586 10254.263  1024.279     9.752    25.157
       147     9.947     0.893     0.000     0.725    -4.632     4.974     0.020    10.216    31.579 10053.147  1024.274     9.947    25.579
       148    10.146     0.904     0.000     0.735    -4.664     5.073     0.020    10.213    31.571  9855.977  1024.269    10.146    26.006
