****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth
      Step (FluxAvg)       (m)       (m)       (m)       (m)
       165    25.629     1.586     2.235     1.055    -8.453
       166    26.141     1.611     2.269     1.068    -8.411
       167    26.663     1.636     2.303     1.080    -8.369
       168    27.196     1.661     2.337     1.093    -8.327
       169    27.740     1.687     2.372     1.106    -8.284
       170    28.294     1.713     2.407     1.118    -8.241
       171    28.859     1.739     2.442     1.131    -8.197
       172    29.436     1.765     2.478     1.144    -8.153
       173    30.024     1.792     2.513     1.156    -8.108
       174    30.624     1.819     2.549     1.169    -8.063
       175    31.236     1.847     2.586     1.181    -8.017
       176    31.861     1.874     2.622     1.194    -7.971
       177    32.497     1.902     2.659     1.206    -7.925
       178    33.147     1.931     2.696     1.219    -7.878
       179    33.809     1.959     2.733     1.231    -7.830
       180    34.485     1.988     2.771     1.244    -7.782
       181    35.174     2.018     2.809     1.256    -7.734
       182    35.877     2.048     2.847     1.269    -7.685
       183    36.594     2.078     2.885     1.281    -7.636
       184    37.326     2.108     2.924     1.294    -7.586
       185    38.072     2.139     2.963     1.306    -7.536
       186    38.833     2.170     3.002     1.318    -7.485
       187    39.609     2.201     3.042     1.330    -7.434
       188    40.401     2.233     3.082     1.343    -7.383
       189    41.208     2.265     3.122     1.355    -7.330
       190    42.032     2.298     3.162     1.367    -7.278
       191    42.872     2.331     3.203     1.379    -7.225
       192    43.729     2.364     3.244     1.391    -7.171
       193    44.603     2.398     3.285     1.403    -7.117
       194    45.495     2.432     3.327     1.415    -7.063
       195    46.404     2.466     3.369     1.427    -7.008
